tile,lon_min,lat_min,lon_max,lat_max
T29SQS,-6.87321610952,32.4060610176,-5.66990292283,33.4209262161
T29SQT,-6.85156237391,33.3067898319,-5.63474072999,34.322373244
T29SQU,-6.82893652554,34.2068165369,-5.59800518603,35.2231329166
T29SQV,-6.805268764496,35.107219696045,-5.559581279755,36.124282836914
T29TME,-10.183172225952,39.655754089355,-8.884556770325,40.650798797607
T29TMG,-10.21648311615,41.457515716553,-8.88130569458,42.452629089355
T29TMH,-10.234305381775,42.357635498047,-8.879566192627,43.35279083252
T29TMJ,-10.252982139587,43.258148193359,-8.877743721008,44.253353118896
T29TNE,-9.00023651123,39.654556274414,-7.701659202576,40.650856018066
T29TNF,-9.000239372253,40.555473327637,-7.683799743652,41.551845550537
T29TNG,-9.000243186951,41.456241607666,-7.665108203888,42.452690124512
T29TNH,-9.000247001648,42.356323242188,-7.645552635193,43.352855682373
T29TNJ,-9.000250816345,43.25679397583,-7.625060081482,44.25341796875
T29TPE,-7.834334373474,39.635871887207,-6.519550800323,40.644798278809
T29TPG,-7.802654266357,41.436336517334,-6.449787139893,42.446239471436
T29TPH,-7.785712718964,42.335781097412,-6.412463665009,43.346199035645
T29TPJ,-7.767967224121,43.235599517822,-6.37335395813,44.246551513672
T29TQE,-6.669814586639,39.605548858643,-5.339654445648,40.626647949219
T29TQF,-6.638890743256,40.504886627197,-5.289425373077,41.526863098145
T29TQG,-6.60653924942,41.404033660889,-5.236863613129,42.426910400391
T29TQH,-6.572704315186,42.302452087402,-5.181876182556,43.32625579834
T29TQJ,-6.537264347076,43.201210021973,-5.124260902405,44.225975036621
T29ULT,-11.934202194214,51.328052520752,-10.295421600342,52.343055725098
T29UMA,-10.565398216248,54.050495147705,-8.847247123718,55.046890258789
T29UMS,-10.439452171326,50.455265045166,-8.859541893005,51.451099395752
T29UMT,-10.4684715271,51.354431152344,-8.856709480286,52.350387573242
T29UMU,-10.499059677124,52.253448486328,-8.853723526001,53.249538421631
T29UMV,-10.531312942505,53.151779174805,-8.850574493408,54.148010253906
T29UNA,-9.000312805176,54.048515319824,-7.282265663147,55.046985626221
T29UNB,-9.00032043457,54.947017669678,-7.24272441864,55.945735931396
T29UNT,-9.000293731689,51.352634429932,-7.388615608215,52.350471496582
T29UNU,-9.000299453735,52.25159072876,-7.355053424835,53.249626159668
T29UNV,-9.000306129456,53.14986038208,-7.319664001465,54.148105621338
T29UPA,-7.472530841827,54.017539978027,-5.719425201416,55.036930084229
T29UPB,-7.438642501831,54.915008544922,-5.644031524658,55.93533706665
T29UPR,-7.617315769196,49.528419494629,-6.040614128113,50.543739318848
T29UPT,-7.563879489899,51.324523925781,-5.922242164612,52.341354370117
T29UPU,-7.535019397736,52.222564697266,-5.858230113983,53.240207672119
T29UPV,-7.504620552063,53.11988067627,-5.790740013123,54.138374328613
T29UQR,-6.236454963684,49.485618591309,-4.634257316589,50.518112182617
T29UQS,-6.18448972702,50.382122039795,-4.54941034317,51.415897369385
T29UQT,-6.129784107208,51.278926849365,-4.460020542145,52.314037322998
T29UQU,-6.072179794312,52.175483703613,-4.365817070007,53.211994171143
T29UQV,-6.011507511139,53.071254730225,-4.266509532928,54.109222412109
T29VNC,-9.000328063965,55.844829559326,-7.200894355774,56.843811035156
T29VNJ,-9.00038433075,61.230686187744,-6.888844013214,62.231769561768
T29VPC,-7.402838230133,55.811737060547,-5.564283847809,56.833053588867
T29VPF,-7.282124519348,58.501766204834,-5.294711112976,59.52640914917
T30PTA,-5.7828169505,13.4647335416,-4.75727469062,14.46621164
T30PTB,-5.79445709124,14.3680522943,-4.7641213731,15.3700883773
T30PTC,-5.80688384555,15.2707519549,-4.77145702725,16.2733460491
T30PTR,-5.73603716548,8.94822735932,-4.73015710193,9.94690708352
T30PTS,-5.7439115466,9.85132047578,-4.73465566941,10.8505622091
T30PTT,-5.7525184883,10.7549018533,-4.73961198207,11.7547042808
T30PTU,-5.76186456218,11.6584246255,-4.74502981779,12.6587864723
T30PTV,-5.77195561012,12.5613421072,-4.75091248626,13.5622621536
T30PUA,-4.85552069865,13.4732217328,-3.83338558451,14.4713414905
T30PUB,-4.86328891437,14.3771328743,-3.8366342042,15.3755536177
T30PUC,-4.87158218242,15.280429155,-3.84011485215,16.2791492706
T30PUR,-4.82430239022,8.95381175845,-3.82051898876,9.95039567902
T30PUS,-4.82955723266,9.85747881005,-3.82265342305,10.8543748365
T30PUT,-4.83530098167,10.7616374707,-3.82500505269,11.7588430098
T30PUU,-4.84153803469,11.665740832,-3.82757567288,12.6632533526
T30PUV,-4.8482723034,12.5692421659,-3.83036685695,13.5670592145
T30PVA,-3.92826143946,13.4783163863,-2.90943371566,14.472812699
T30PVB,-3.93214969595,14.382583104,-2.90905428983,15.377121017
T30PVC,-3.9363007874,15.2862375051,-2.90864921499,16.2808136044
T30PVR,-3.91263587018,8.95716348988,-2.91095848964,9.95139617834
T30PVS,-3.91526602582,9.86117502422,-2.91070183477,10.8554682669
T30PVT,-3.91814090238,10.76568018,-2.91042129921,11.760029965
T30PVU,-3.92126270446,11.6701320237,-2.91011666771,12.664534421
T30PVV,-3.92463339391,12.5739838021,-2.90978774871,13.5684349786
T30PWA,-3.00018558673,13.4779691351,-1.98137176856,14.4728301296
T30PWB,-3.00018636424,14.3822116162,-1.97710514144,15.3771395872
T30PWC,-3.00018719432,15.2858416073,-1.97255010472,16.2808333231
T30PWR,-3.00018246219,8.95693503734,-1.99851789886,9.95140803202
T30PWS,-3.00018298812,9.86092309167,-1.99563179442,10.8554812216
T30PWT,-3.00018356299,10.7654046302,-1.99247715548,11.7600440278
T30PWU,-3.00018418724,11.6698327211,-1.98905156318,12.6645495989
T30PWV,-3.00018486125,12.5736606129,-1.98535286504,13.5684512784
T30PXA,-2.07607711093,13.4725397857,-1.05359528009,14.4710004808
T30PXB,-2.0724756849,14.3764033327,-1.0454471501,15.3751903123
T30PXC,-2.0686170334,15.2796516784,-1.0367482974,16.2787634972
T30PXT,-2.08536779089,10.7610963298,-1.07480390112,11.7585678865
T30PXU,-2.08251799353,11.6651530453,-1.06826180173,12.662956415
T30PXV,-2.07942367933,12.5686074711,-1.06119817361,13.5667403277
T30PYA,-1.15277829741,13.4637261101,-0.126919903175,14.465516799
T30PYB,-1.14558164068,14.3669745574,-0.114903458572,15.3693481088
T30PYC,-1.13787102423,15.269603411,-0.102074987978,16.2725600024
T30PYT,-1.17134387649,10.7541024225,-0.158197930841,11.7541436852
T30PYU,-1.16564909157,11.6575562881,-0.14854968217,12.6581814291
T30PYV,-1.15946571645,12.5604044766,-0.138132384379,13.5616123882
T30PZA,-0.229434293624,13.451528723,0.799508129564,14.4563795123
T30PZB,-0.218649748913,14.353926004,0.815379211364,15.3596134706
T30PZC,-0.207095131768,15.2556976292,0.832322524087,16.2622234061
T30PZT,-0.257256231421,10.7444232905,0.758195561756,11.7467716961
T30PZU,-0.24872208463,11.6470428996,0.770939317359,12.6502249592
T30PZV,-0.239455818376,12.5490521565,0.78469868133,13.5530678297
T30QTD,-5.82012886431,16.1739116521,-4.77930024573,17.177064898
T30QTE,-5.83420295405,17.0769850334,-4.78765734316,18.080698696
T30QUD,-4.88042164509,16.1841907646,-3.84383635471,17.1832092985
T30QUE,-4.88981453577,17.0878713499,-3.84780171298,18.0871874792
T30QVD,-3.94072530213,16.1903604167,-2.90821745771,17.1849714845
T30QVE,-3.94542686718,17.0944054856,-2.90775866386,18.089048437
T30QWD,-3.00018807907,16.1899398918,-1.96769504015,17.1849923625
T30QWE,-3.00018901922,17.0939601166,-1.96253596824,18.0890704853
T30QXD,-2.06449137186,16.1833649276,-1.02747654737,17.1828008442
T30QXE,-2.06009537363,17.0869967269,-1.01762431466,18.0867561311
T30QYD,-1.12962690637,16.1726916738,-0.088401820917,17.1762326403
